trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
115,False,"{'a': 0.8, 'e': 0.31480917318095203}",30,16,-8.113311461615995,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
116,False,"{'a': 0.8, 'e': 0.3116610814491425}",20,6,23.621182684443568,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.8, 'e': 0.30854447063465107}",20,1,28.561277954828043,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.8, 'e': 0.3054590259283046}",30,12,-14.930082207972587,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.8, 'e': 0.30240443566902153}",30,14,6.051052610132405,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
120,False,"{'a': 0.8, 'e': 0.2993803913123313}",20,8,20.595921894669388,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.8, 'e': 0.296386587399208}",20,9,17.525081799203136,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.8, 'e': 0.2934227215252159}",20,3,27.985425272792558,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.8, 'e': 0.29048849430996376}",30,13,10.769852516395003,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.8, 'e': 0.2875836093668641}",30,6,44.37874999351462,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.8, 'e': 0.28470777327319546}",30,12,-9.080592181926601,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.8, 'e': 0.2818606955404635}",25,14,-6.107977621699288,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.8, 'e': 0.27904208858505886}",30,20,16.615173304493958,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.8, 'e': 0.2762516676992083}",20,15,8.681219080556852,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.8, 'e': 0.2734891510222162}",20,9,18.77276350464735,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.8, 'e': 0.27075425951199406}",30,15,9.27218618427635,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
131,False,"{'a': 0.8, 'e': 0.2680467169168741}",25,10,15.549831276271222,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.8, 'e': 0.26536624974770534}",20,0,-23.40314670484007,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
133,False,"{'a': 0.8, 'e': 0.2627125872502283}",30,18,14.863220880751696,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.8, 'e': 0.26008546137772603}",30,17,12.86853818972376,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.8, 'e': 0.25748460676394874}",25,15,18.661694278861848,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.8, 'e': 0.2549097606963093}",35,21,-16.818584266066303,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.8, 'e': 0.2523606630893462}",35,25,18.164352736240122,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.8, 'e': 0.2498370564584527}",30,6,26.355796876021166,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.8, 'e': 0.24733868589386818}",25,18,12.818078853124604,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.8, 'e': 0.24486529903492948}",25,8,14.083357652681379,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.8, 'e': 0.2424166460445802}",20,0,10.393467250853211,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
142,False,"{'a': 0.8, 'e': 0.2399924795841344}",20,16,8.175506350161804,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.8, 'e': 0.23759255478829303}",20,3,-19.569092949706064,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.8, 'e': 0.23521662924041012}",20,11,15.759739319088505,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.8, 'e': 0.232864462948006}",25,15,20.342260829236483,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.8, 'e': 0.23053581831852593}",20,6,22.553343425404776,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.8, 'e': 0.22823046013534068}",20,13,9.386333640533731,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.8, 'e': 0.22594815553398728}",35,14,24.61201390378855,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.8, 'e': 0.2236886739786474}",20,12,15.295203642676125,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.8, 'e': 0.22145178723886091}",35,21,17.66572328464866,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.8, 'e': 0.2192372693664723}",20,0,-32.61860733612772,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
152,False,"{'a': 0.8, 'e': 0.21704489667280757}",25,0,17.86121217598416,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
153,False,"{'a': 0.8, 'e': 0.2148744477060795}",20,6,18.117038627709455,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.8, 'e': 0.2127257032290187}",20,4,13.788247219527307,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.8, 'e': 0.21059844619672852}",30,4,17.77213711940177,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.8, 'e': 0.20849246173476124}",30,8,26.62007127397634,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.8, 'e': 0.2064075371174136}",25,15,18.629504993553844,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.8, 'e': 0.2043434617462395}",25,8,-10.005365406101664,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.8, 'e': 0.2023000271287771}",25,9,-38.19348208840906,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
160,False,"{'a': 0.8, 'e': 0.2002770268574893}",20,5,26.172332383552877,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.8, 'e': 0.19827425658891443}",30,21,-2.526528561018891,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
162,False,"{'a': 0.8, 'e': 0.19629151402302528}",25,20,10.605284346540483,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.8, 'e': 0.19432859888279502}",20,6,-21.607822084805278,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
164,False,"{'a': 0.8, 'e': 0.19238531289396707}",25,11,-16.18442743543752,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
165,False,"{'a': 0.8, 'e': 0.1904614597650274}",20,9,20.149252985249323,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.8, 'e': 0.1885568451673771}",25,0,29.194799453190456,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.8, 'e': 0.18667127671570335}",30,12,19.44235640279289,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.8, 'e': 0.1848045639485463}",25,11,16.76020573584915,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.8, 'e': 0.18295651830906084}",20,6,10.057750245499582,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.8, 'e': 0.18112695312597024}",20,16,6.24841368869782,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.8, 'e': 0.17931568359471053}",25,0,38.35389476845715,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.8, 'e': 0.17752252675876343}",25,18,13.732795179548567,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.8, 'e': 0.1757473014911758}",30,0,47.400292361585514,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.8, 'e': 0.173989828476264}",20,4,23.302685291016743,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.8, 'e': 0.1722499301915014}",20,10,17.243347721808817,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.8, 'e': 0.17052743088958636}",30,14,29.78147592380752,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.8, 'e': 0.1688221565806905}",20,9,14.539691178900817,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.8, 'e': 0.1671339350148836}",25,8,11.524809678182244,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.8, 'e': 0.16546259566473476}",25,14,17.665628437692483,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.8, 'e': 0.16380796970808742}",25,1,17.23464955171546,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.8, 'e': 0.16216989001100654}",25,17,-7.7780485941882205,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
182,False,"{'a': 0.8, 'e': 0.16054819111089647}",20,3,19.44155091103367,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.8, 'e': 0.1589427091997875}",20,0,19.67711848601908,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.8, 'e': 0.15735328210778962}",20,9,21.796794413268152,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.8, 'e': 0.15577974928671173}",20,7,21.55618053027006,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
